"molregno","canonical_smiles","ic50_nm"
"1817518","C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C","1.0"
"2773445","C=CC(=O)N1CC[C@H](n2c(Nc3ccccc3)nc3cnc(Nc4ccc(N5CCN(C)CC5)cc4)nc32)C1","10.0"
"2757051","C=CC(=O)N1CCC[C@H](n2c(Nc3ccccc3)nc3cnc(Nc4ccc(N5CCN(C)CC5)cc4)nc32)C1","21.0"
"1817518","C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C","3.0"
"2773445","C=CC(=O)N1CC[C@H](n2c(Nc3ccccc3)nc3cnc(Nc4ccc(N5CCN(C)CC5)cc4)nc32)C1","23.0"
"2757051","C=CC(=O)N1CCC[C@H](n2c(Nc3ccccc3)nc3cnc(Nc4ccc(N5CCN(C)CC5)cc4)nc32)C1","38.0"
"2752791","COc1cc(N2CCN(CC(=O)NCCCCCCC(=O)N[C@H](C(=O)N3C[C@H](O)C[C@H]3C(=O)NCc3ccc(-c4scnc4C)cc3)C(C)(C)C)CC2)c(NC(=O)/C(C#N)=C/C2CC2)cc1Nc1nccc(-c2cn(C)c3ccccc23)n1","10000.0"
"2772694","COc1cc(N2CCN(CC(=O)NCCCCCCC(=O)N[C@H](C(=O)N3C[C@H](O)C[C@H]3C(=O)NCc3ccc(-c4scnc4C)cc3)C(C)(C)C)CC2)c(NC(=O)/C(C#N)=C/c2ccncc2)cc1Nc1nccc(-c2cn(C)c3ccccc23)n1","10000.0"
"2748158","COc1cc(N2CCN(C)CC2)c(NC(=O)/C(C#N)=C/C(C)(C)NC(=O)CCCCCC(=O)N[C@H](C(=O)N2C[C@H](O)C[C@H]2C(=O)NCc2ccc(-c3scnc3C)cc2)C(C)(C)C)cc1Nc1nccc(-c2cn(C)c3ccccc23)n1","10000.0"
"2773990","COc1cc(N(C)CCN(C)C)c(NC(=O)/C(C#N)=C/C(C)(C)NC(=O)CCCCCCC(=O)N[C@H](C(=O)N2C[C@H](O)C[C@H]2C(=O)NCc2ccc(-c3scnc3C)cc2)C(C)(C)C)cc1Nc1nccc(-c2cn(C)c3ccccc23)n1","857.0"
